,pnl
2024-01-05 08:00:00+00:00,940.4628859999995
2024-01-08 08:00:00+00:00,-1349.035577999999
2024-01-10 08:00:00+00:00,764.1140040000023
2024-01-18 08:00:00+00:00,-551.9825910000006
2024-01-31 08:00:00+00:00,7.547420000000059
2024-02-20 08:00:00+00:00,785.8803559999977
2024-02-26 08:00:00+00:00,-2873.557284
2024-03-01 08:00:00+00:00,1590.4197320000033
2024-03-05 08:00:00+00:00,2361.833755999994
2024-03-07 08:00:00+00:00,1208.7649959999992
2024-03-08 08:00:00+00:00,542.3324560000001
2024-03-10 08:00:00+00:00,538.4930000000066
2024-03-12 08:00:00+00:00,250.93299199999916
2024-03-13 08:00:00+00:00,2237.460433999993
2024-03-14 08:00:00+00:00,-4769.441506000005
2024-04-10 08:00:00+00:00,95.70111300000531
2024-04-23 08:00:00+00:00,812.8917399999934
2024-05-06 08:00:00+00:00,904.146998
2024-05-09 08:00:00+00:00,-831.6491559999965
2024-05-12 08:00:00+00:00,-453.0372679999976
2024-05-15 08:00:00+00:00,-2573.8569680000005
2024-05-19 08:00:00+00:00,243.37634700000342
2024-05-22 08:00:00+00:00,1305.7406079999932
2024-05-23 08:00:00+00:00,-727.4541940000063
2024-06-07 08:00:00+00:00,-31.871799999993087
2024-06-12 08:00:00+00:00,1514.1760629999985
2024-07-11 08:00:00+00:00,470.0755689999994
2024-07-11 08:00:00+00:00,470.0755689999994
2024-07-23 08:00:00+00:00,1214.8476800000064
2024-07-27 08:00:00+00:00,2015.3254629999947
2024-08-23 08:00:00+00:00,-2025.6563679999983
2024-08-26 08:00:00+00:00,273.72511999999733
2024-08-27 08:00:00+00:00,-3365.5274810000005
2024-09-06 08:00:00+00:00,-278.7000330000001
2024-09-24 08:00:00+00:00,942.4893589999982
2024-09-26 08:00:00+00:00,-399.5881359999999
2024-10-01 08:00:00+00:00,-1215.1902959999982
2024-10-17 08:00:00+00:00,718.0460480000063
2024-10-28 08:00:00+00:00,-1910.8349959999962
2024-11-05 08:00:00+00:00,-1711.421243999998
2024-11-07 08:00:00+00:00,655.8503199999969
2024-11-20 08:00:00+00:00,-1455.8640120000052
2024-11-21 08:00:00+00:00,643.4985620000002
2024-11-22 08:00:00+00:00,2127.1219749999964
2024-11-28 08:00:00+00:00,991.0875999999948
2024-12-26 08:00:00+00:00,1814.1006000000002
2024-12-27 08:00:00+00:00,1048.4428000000014
2024-12-29 08:00:00+00:00,62.066676000001806
2024-12-30 08:00:00+00:00,1574.9483840000003
2025-01-02 08:00:00+00:00,2029.527407999993
2025-01-06 08:00:00+00:00,-1192.363891999998
2025-01-15 08:00:00+00:00,469.06637499999766
2025-02-21 08:00:00+00:00,93.05516999999924
2025-03-18 08:00:00+00:00,1274.1919560000001
2025-03-19 08:00:00+00:00,-1055.9615459999977
2025-03-25 08:00:00+00:00,-115.00891599999946
2025-03-28 08:00:00+00:00,664.9978240000028
2025-03-31 08:00:00+00:00,76.65321400000644
2025-04-02 08:00:00+00:00,751.3907299999972
2025-04-04 08:00:00+00:00,1346.1241600000005
2025-04-16 08:00:00+00:00,288.3125500000024
2025-04-24 08:00:00+00:00,-363.10867399999694
2025-04-25 08:00:00+00:00,999.7094599999953
2025-05-23 08:00:00+00:00,-1452.5750290000055
2025-05-27 08:00:00+00:00,1473.2662080000018
2025-05-29 08:00:00+00:00,-1176.5689600000044
2025-06-02 08:00:00+00:00,1135.493504000003
2025-06-09 08:00:00+00:00,-1874.198863999998
2025-06-12 08:00:00+00:00,-1014.3213189999935
2025-06-20 08:00:00+00:00,-863.0635570000011
2025-07-30 08:00:00+00:00,1011.7202999999964
2025-08-01 08:00:00+00:00,633.0130339999947
2025-08-05 08:00:00+00:00,1352.1985660000037
2025-08-22 08:00:00+00:00,-738.5947749999978
2025-09-17 08:00:00+00:00,1987.810180999999
2025-10-19 08:00:00+00:00,-2280.103351999997
2025-10-26 08:00:00+00:00,-1485.8188520000003
2025-11-26 08:00:00+00:00,-2979.2285199999933
2025-12-14 08:00:00+00:00,1187.0549729999998
2025-12-21 08:00:00+00:00,1051.2356879999948
2025-12-22 08:00:00+00:00,83.08761299999375
