,pnl
2024-01-04 08:00:00+00:00,-97.18592500000068
2024-01-12 08:00:00+00:00,1869.050760000001
2024-02-11 08:00:00+00:00,-589.6566499999992
2024-02-18 08:00:00+00:00,-283.26000000000204
2024-03-06 08:00:00+00:00,-2512.3017999999997
2024-03-17 08:00:00+00:00,-362.03740000000255
2024-04-13 08:00:00+00:00,1991.8827500000018
2024-04-14 08:00:00+00:00,-226.54743999999823
2024-05-02 08:00:00+00:00,420.9483919999995
2024-05-11 08:00:00+00:00,-543.5120799999991
2024-06-13 08:00:00+00:00,-342.1450650000012
2024-06-25 08:00:00+00:00,29.48366999999763
2024-07-01 08:00:00+00:00,-355.38086999999757
2024-07-04 08:00:00+00:00,2101.4055799999996
2024-07-14 08:00:00+00:00,1704.8450049999988
2024-07-15 08:00:00+00:00,-1167.3623349999968
2024-07-28 08:00:00+00:00,916.1245849999964
2024-08-05 08:00:00+00:00,1483.2141699999977
2024-09-12 08:00:00+00:00,-1092.5151199999987
2024-10-03 08:00:00+00:00,-970.6579699999984
2024-10-08 08:00:00+00:00,-761.6418000000026
2024-10-14 08:00:00+00:00,151.20759999999586
2024-10-16 08:00:00+00:00,-864.6917500000052
2024-11-06 08:00:00+00:00,-600.1858600000028
2024-11-10 08:00:00+00:00,252.6526050000058
2024-11-19 08:00:00+00:00,-1087.4395599999982
2024-12-10 08:00:00+00:00,-1598.64275
2024-12-22 08:00:00+00:00,-512.6875949999993
2024-12-23 08:00:00+00:00,-1055.606219999998
2024-12-24 08:00:00+00:00,1711.0725199999933
2024-12-25 08:00:00+00:00,826.1949800000001
2024-12-31 08:00:00+00:00,-1216.7524400000048
2025-01-19 08:00:00+00:00,1592.7960000000037
2025-01-20 08:00:00+00:00,1292.044519999995
2025-01-21 08:00:00+00:00,181.99780000000283
2025-01-28 08:00:00+00:00,-1902.64434
2025-02-02 08:00:00+00:00,2886.1909200000046
2025-02-03 08:00:00+00:00,494.1820000000007
2025-03-02 08:00:00+00:00,4491.173970000001
2025-03-03 08:00:00+00:00,5274.836280000006
2025-03-04 08:00:00+00:00,972.5321700000002
2025-03-07 08:00:00+00:00,-497.89147999999454
2025-03-30 08:00:00+00:00,-538.5580150000053
2025-04-03 08:00:00+00:00,-1471.8702000000012
2025-04-06 08:00:00+00:00,6300.427000000005
2025-04-10 08:00:00+00:00,-1519.8307400000053
2025-04-13 08:00:00+00:00,-1747.2818950000042
2025-04-27 08:00:00+00:00,-355.3911149999975
2025-05-04 08:00:00+00:00,84.33772000000062
2025-05-11 08:00:00+00:00,-674.617120000007
2025-05-18 08:00:00+00:00,-592.2852000000139
2025-05-19 08:00:00+00:00,-186.03168999999843
2025-05-19 08:00:00+00:00,-186.03168999999843
2025-05-22 08:00:00+00:00,-1995.7566950000053
2025-05-25 08:00:00+00:00,1255.7802200000028
2025-06-15 08:00:00+00:00,525.3633000000071
2025-06-21 08:00:00+00:00,493.3785439999971
2025-06-22 08:00:00+00:00,-1115.5567999999976
2025-06-23 08:00:00+00:00,1518.5971300000003
2025-06-24 08:00:00+00:00,-75.10462499999426
2025-07-10 08:00:00+00:00,4654.704379999999
2025-07-16 08:00:00+00:00,-1411.5883300000023
2025-07-23 08:00:00+00:00,-1438.8973640000029
2025-07-26 08:00:00+00:00,-26.96462300000121
2025-07-31 08:00:00+00:00,2172.1962309999985
2025-08-02 08:00:00+00:00,-499.2040700000005
2025-08-06 08:00:00+00:00,-386.31357
2025-08-10 08:00:00+00:00,2391.054064000007
2025-08-14 08:00:00+00:00,1120.2647000000006
2025-08-15 08:00:00+00:00,-670.9957479999947
2025-08-21 08:00:00+00:00,-352.29134
2025-08-23 08:00:00+00:00,375.7179919999941
2025-09-03 08:00:00+00:00,-953.5174200000024
2025-09-06 08:00:00+00:00,-442.95613099999656
2025-09-26 08:00:00+00:00,-818.6652239999983
2025-10-02 08:00:00+00:00,-1081.8838040000032
2025-10-05 08:00:00+00:00,-961.6634390000041
2025-10-10 08:00:00+00:00,8835.911855999999
2025-10-12 08:00:00+00:00,1304.5590000000007
2025-10-22 08:00:00+00:00,-703.9916879999948
2025-10-30 08:00:00+00:00,-1078.3291849999953
2025-11-04 08:00:00+00:00,337.1712400000066
2025-11-13 08:00:00+00:00,5079.752084999999
2025-11-20 08:00:00+00:00,6535.16
2025-11-27 08:00:00+00:00,-874.9970600000028
2025-12-01 08:00:00+00:00,-1337.766570000007
2025-12-18 08:00:00+00:00,-1018.4533979999944
2025-12-19 08:00:00+00:00,-1503.1788050000007
