block_start,train_sessions,train_sharpe,n_trades,vrp_threshold,ivr_short,ivr_long
2023-12-30 08:00:00+00:00,365,4.010419787767554,5,0.1,30.0,60.0
2024-01-29 08:00:00+00:00,395,2.559811279972216,3,0.05,30.0,60.0
2024-02-28 08:00:00+00:00,425,2.494060150461886,18,0.025,40.0,60.0
2024-03-29 08:00:00+00:00,455,1.6753328460815793,3,0.075,50.0,60.0
2024-04-28 08:00:00+00:00,485,2.7972459676253862,0,0.1,50.0,60.0
2024-05-28 08:00:00+00:00,515,2.714058441864088,0,0.1,50.0,60.0
2024-06-27 08:00:00+00:00,545,2.637876945882479,0,0.1,50.0,60.0
2024-07-26 08:00:00+00:00,575,2.570017741915463,1,0.1,50.0,60.0
2024-08-25 08:00:00+00:00,605,2.735053834792945,0,0.1,50.0,60.0
2024-09-24 08:00:00+00:00,635,2.6692449851637496,0,0.1,50.0,60.0
2024-10-24 08:00:00+00:00,665,2.6079687631573534,1,0.1,50.0,60.0
2024-11-23 08:00:00+00:00,695,2.0317450636697463,0,0.1,50.0,60.0
2024-12-23 08:00:00+00:00,725,1.989026661574943,0,0.1,50.0,60.0
2025-01-22 08:00:00+00:00,755,1.9866217830627284,2,0.05,30.0,60.0
2025-02-21 08:00:00+00:00,785,1.9110969527613484,2,0.1,50.0,60.0
2025-03-23 08:00:00+00:00,815,1.7306018999513948,2,0.05,30.0,60.0
2025-04-22 08:00:00+00:00,845,1.7635307142883445,0,0.05,30.0,60.0
2025-05-21 08:00:00+00:00,875,1.7338894315662343,0,0.05,30.0,60.0
2025-06-20 08:00:00+00:00,905,1.7047463571453996,0,0.05,30.0,60.0
2025-07-20 08:00:00+00:00,935,1.6770250567117961,0,0.05,30.0,60.0
2025-08-19 08:00:00+00:00,965,1.6506135626829734,0,0.05,30.0,60.0
2025-09-18 08:00:00+00:00,995,1.6254118756908438,1,0.05,30.0,60.0
2025-10-17 08:00:00+00:00,1025,1.5365421865417934,3,0.05,30.0,60.0
2025-11-16 08:00:00+00:00,1055,1.2978120058340625,3,0.05,30.0,60.0
2025-12-16 08:00:00+00:00,1085,1.3113533868427472,2,0.05,30.0,60.0
